id,actor,movie
Ray Milland-Dial M for Murder,Ray Milland,Dial M for Murder
Grace Kelly-Dial M for Murder,Grace Kelly,Dial M for Murder
Robert Cummings-Dial M for Murder,Robert Cummings,Dial M for Murder
John Williams-Dial M for Murder,John Williams,Dial M for Murder
Chishû Ryû-Tôkyô monogatari,Chishû Ryû,Tôkyô monogatari
Chieko Higashiyama-Tôkyô monogatari,Chieko Higashiyama,Tôkyô monogatari
Sô Yamamura-Tôkyô monogatari,Sô Yamamura,Tôkyô monogatari
Setsuko Hara-Tôkyô monogatari,Setsuko Hara,Tôkyô monogatari
Toshirô Mifune-Rashômon,Toshirô Mifune,Rashômon
Machiko Kyô-Rashômon,Machiko Kyô,Rashômon
Masayuki Mori-Rashômon,Masayuki Mori,Rashômon
Takashi Shimura-Rashômon,Takashi Shimura,Rashômon
Bette Davis-All About Eve,Bette Davis,All About Eve
Anne Baxter-All About Eve,Anne Baxter,All About Eve
George Sanders-All About Eve,George Sanders,All About Eve
Celeste Holm-All About Eve,Celeste Holm,All About Eve
Humphrey Bogart-The Treasure of the Sierra Madre,Humphrey Bogart,The Treasure of the Sierra Madre
Walter Huston-The Treasure of the Sierra Madre,Walter Huston,The Treasure of the Sierra Madre
Tim Holt-The Treasure of the Sierra Madre,Tim Holt,The Treasure of the Sierra Madre
Bruce Bennett-The Treasure of the Sierra Madre,Bruce Bennett,The Treasure of the Sierra Madre
Carole Lombard-To Be or Not to Be,Carole Lombard,To Be or Not to Be
Jack Benny-To Be or Not to Be,Jack Benny,To Be or Not to Be
Robert Stack-To Be or Not to Be,Robert Stack,To Be or Not to Be
Felix Bressart-To Be or Not to Be,Felix Bressart,To Be or Not to Be
Charles Chaplin-The Gold Rush,Charles Chaplin,The Gold Rush
Mack Swain-The Gold Rush,Mack Swain,The Gold Rush
Tom Murray-The Gold Rush,Tom Murray,The Gold Rush
Henry Bergman-The Gold Rush,Henry Bergman,The Gold Rush
Buster Keaton-Sherlock Jr.,Buster Keaton,Sherlock Jr.
Kathryn McGuire-Sherlock Jr.,Kathryn McGuire,Sherlock Jr.
Joe Keaton-Sherlock Jr.,Joe Keaton,Sherlock Jr.
Erwin Connelly-Sherlock Jr.,Erwin Connelly,Sherlock Jr.
Noémie Merlant-Portrait de la jeune fille en feu,Noémie Merlant,Portrait de la jeune fille en feu
Adèle Haenel-Portrait de la jeune fille en feu,Adèle Haenel,Portrait de la jeune fille en feu
Luàna Bajrami-Portrait de la jeune fille en feu,Luàna Bajrami,Portrait de la jeune fille en feu
Valeria Golino-Portrait de la jeune fille en feu,Valeria Golino,Portrait de la jeune fille en feu
Taapsee Pannu-Pink,Taapsee Pannu,Pink
Amitabh Bachchan-Pink,Amitabh Bachchan,Pink
Kirti Kulhari-Pink,Kirti Kulhari,Pink
Andrea Tariang-Pink,Andrea Tariang,Pink
Miyu Irino-Koe no katachi,Miyu Irino,Koe no katachi
Saori Hayami-Koe no katachi,Saori Hayami,Koe no katachi
Aoi Yûki-Koe no katachi,Aoi Yûki,Koe no katachi
Kenshô Ono-Koe no katachi,Kenshô Ono,Koe no katachi
Mario Casas-Contratiempo,Mario Casas,Contratiempo
Ana Wagener-Contratiempo,Ana Wagener,Contratiempo
Jose Coronado-Contratiempo,Jose Coronado,Contratiempo
Bárbara Lennie-Contratiempo,Bárbara Lennie,Contratiempo
Kim Min-hee-Ah-ga-ssi,Kim Min-hee,Ah-ga-ssi
Jung-woo Ha-Ah-ga-ssi,Jung-woo Ha,Ah-ga-ssi
Cho Jin-woong-Ah-ga-ssi,Cho Jin-woong,Ah-ga-ssi
Moon So-Ri-Ah-ga-ssi,Moon So-Ri,Ah-ga-ssi
Anne Dorval-Mommy,Anne Dorval,Mommy
Antoine Olivier Pilon-Mommy,Antoine Olivier Pilon,Mommy
Suzanne Clément-Mommy,Suzanne Clément,Mommy
Patrick Huard-Mommy,Patrick Huard,Mommy
Shahid Kapoor-Haider,Shahid Kapoor,Haider
Tabu-Haider,Tabu,Haider
Shraddha Kapoor-Haider,Shraddha Kapoor,Haider
Kay Kay Menon-Haider,Kay Kay Menon,Haider
Hugh Jackman-Logan,Hugh Jackman,Logan
Patrick Stewart-Logan,Patrick Stewart,Logan
Dafne Keen-Logan,Dafne Keen,Logan
Boyd Holbrook-Logan,Boyd Holbrook,Logan
Brie Larson-Room,Brie Larson,Room
Jacob Tremblay-Room,Jacob Tremblay,Room
Sean Bridgers-Room,Sean Bridgers,Room
Wendy Crewson-Room,Wendy Crewson,Room
Darío Grandinetti-Relatos salvajes,Darío Grandinetti,Relatos salvajes
María Marull-Relatos salvajes,María Marull,Relatos salvajes
Mónica Villa-Relatos salvajes,Mónica Villa,Relatos salvajes
Diego Starosta-Relatos salvajes,Diego Starosta,Relatos salvajes
Kemp Powers-Soul,Kemp Powers,Soul
Jamie Foxx-Soul,Jamie Foxx,Soul
Tina Fey-Soul,Tina Fey,Soul
Graham Norton-Soul,Graham Norton,Soul
Haluk Bilginer-Kis Uykusu,Haluk Bilginer,Kis Uykusu
Melisa Sözen-Kis Uykusu,Melisa Sözen,Kis Uykusu
Demet Akbag-Kis Uykusu,Demet Akbag,Kis Uykusu
Ayberk Pekcan-Kis Uykusu,Ayberk Pekcan,Kis Uykusu
Aamir Khan-PK,Aamir Khan,PK
Anushka Sharma-PK,Anushka Sharma,PK
Sanjay Dutt-PK,Sanjay Dutt,PK
Boman Irani-PK,Boman Irani,PK
Paresh Rawal-OMG: Oh My God!,Paresh Rawal,OMG: Oh My God!
Akshay Kumar-OMG: Oh My God!,Akshay Kumar,OMG: Oh My God!
Mithun Chakraborty-OMG: Oh My God!,Mithun Chakraborty,OMG: Oh My God!
Mahesh Manjrekar-OMG: Oh My God!,Mahesh Manjrekar,OMG: Oh My God!
Ralph Fiennes-The Grand Budapest Hotel,Ralph Fiennes,The Grand Budapest Hotel
F. Murray Abraham-The Grand Budapest Hotel,F. Murray Abraham,The Grand Budapest Hotel
Mathieu Amalric-The Grand Budapest Hotel,Mathieu Amalric,The Grand Budapest Hotel
Adrien Brody-The Grand Budapest Hotel,Adrien Brody,The Grand Budapest Hotel
Ben Affleck-Gone Girl,Ben Affleck,Gone Girl
Rosamund Pike-Gone Girl,Rosamund Pike,Gone Girl
Neil Patrick Harris-Gone Girl,Neil Patrick Harris,Gone Girl
Tyler Perry-Gone Girl,Tyler Perry,Gone Girl
Aoi Miyazaki-Ôkami kodomo no Ame to Yuki,Aoi Miyazaki,Ôkami kodomo no Ame to Yuki
Takao Osawa-Ôkami kodomo no Ame to Yuki,Takao Osawa,Ôkami kodomo no Ame to Yuki
Haru Kuroki-Ôkami kodomo no Ame to Yuki,Haru Kuroki,Ôkami kodomo no Ame to Yuki
Yukito Nishii-Ôkami kodomo no Ame to Yuki,Yukito Nishii,Ôkami kodomo no Ame to Yuki
Andrew Garfield-Hacksaw Ridge,Andrew Garfield,Hacksaw Ridge
Sam Worthington-Hacksaw Ridge,Sam Worthington,Hacksaw Ridge
Luke Bracey-Hacksaw Ridge,Luke Bracey,Hacksaw Ridge
Teresa Palmer-Hacksaw Ridge,Teresa Palmer,Hacksaw Ridge
Ronnie Del Carmen-Inside Out,Ronnie Del Carmen,Inside Out
Amy Poehler-Inside Out,Amy Poehler,Inside Out
Bill Hader-Inside Out,Bill Hader,Inside Out
Lewis Black-Inside Out,Lewis Black,Inside Out
Ranbir Kapoor-Barfi!,Ranbir Kapoor,Barfi!
Priyanka Chopra-Barfi!,Priyanka Chopra,Barfi!
Ileana D'Cruz-Barfi!,Ileana D'Cruz,Barfi!
Saurabh Shukla-Barfi!,Saurabh Shukla,Barfi!
Chiwetel Ejiofor-12 Years a Slave,Chiwetel Ejiofor,12 Years a Slave
Michael Kenneth Williams-12 Years a Slave,Michael Kenneth Williams,12 Years a Slave
Michael Fassbender-12 Years a Slave,Michael Fassbender,12 Years a Slave
Brad Pitt-12 Years a Slave,Brad Pitt,12 Years a Slave
Daniel Brühl-Rush,Daniel Brühl,Rush
Chris Hemsworth-Rush,Chris Hemsworth,Rush
Olivia Wilde-Rush,Olivia Wilde,Rush
Alexandra Maria Lara-Rush,Alexandra Maria Lara,Rush
Matt Damon-Ford v Ferrari,Matt Damon,Ford v Ferrari
Christian Bale-Ford v Ferrari,Christian Bale,Ford v Ferrari
Jon Bernthal-Ford v Ferrari,Jon Bernthal,Ford v Ferrari
Caitriona Balfe-Ford v Ferrari,Caitriona Balfe,Ford v Ferrari
Mark Ruffalo-Spotlight,Mark Ruffalo,Spotlight
Michael Keaton-Spotlight,Michael Keaton,Spotlight
Rachel McAdams-Spotlight,Rachel McAdams,Spotlight
Liev Schreiber-Spotlight,Liev Schreiber,Spotlight
David Rawle-Song of the Sea,David Rawle,Song of the Sea
Brendan Gleeson-Song of the Sea,Brendan Gleeson,Song of the Sea
Lisa Hannigan-Song of the Sea,Lisa Hannigan,Song of the Sea
Fionnula Flanagan-Song of the Sea,Fionnula Flanagan,Song of the Sea
Vidya Balan-Kahaani,Vidya Balan,Kahaani
Parambrata Chattopadhyay-Kahaani,Parambrata Chattopadhyay,Kahaani
Indraneil Sengupta-Kahaani,Indraneil Sengupta,Kahaani
Nawazuddin Siddiqui-Kahaani,Nawazuddin Siddiqui,Kahaani
Hrithik Roshan-Zindagi Na Milegi Dobara,Hrithik Roshan,Zindagi Na Milegi Dobara
Farhan Akhtar-Zindagi Na Milegi Dobara,Farhan Akhtar,Zindagi Na Milegi Dobara
Abhay Deol-Zindagi Na Milegi Dobara,Abhay Deol,Zindagi Na Milegi Dobara
Katrina Kaif-Zindagi Na Milegi Dobara,Katrina Kaif,Zindagi Na Milegi Dobara
Hugh Jackman-Prisoners,Hugh Jackman,Prisoners
Jake Gyllenhaal-Prisoners,Jake Gyllenhaal,Prisoners
Viola Davis-Prisoners,Viola Davis,Prisoners
Melissa Leo-Prisoners,Melissa Leo,Prisoners
Tom Hardy-Mad Max: Fury Road,Tom Hardy,Mad Max: Fury Road
Charlize Theron-Mad Max: Fury Road,Charlize Theron,Mad Max: Fury Road
Nicholas Hoult-Mad Max: Fury Road,Nicholas Hoult,Mad Max: Fury Road
Zoë Kravitz-Mad Max: Fury Road,Zoë Kravitz,Mad Max: Fury Road
Anupam Kher-A Wednesday,Anupam Kher,A Wednesday
Naseeruddin Shah-A Wednesday,Naseeruddin Shah,A Wednesday
Jimmy Sheirgill-A Wednesday,Jimmy Sheirgill,A Wednesday
Aamir Bashir-A Wednesday,Aamir Bashir,A Wednesday
Clint Eastwood-Gran Torino,Clint Eastwood,Gran Torino
Bee Vang-Gran Torino,Bee Vang,Gran Torino
Christopher Carley-Gran Torino,Christopher Carley,Gran Torino
Ahney Her-Gran Torino,Ahney Her,Gran Torino
Daniel Radcliffe-Harry Potter and the Deathly Hallows: Part 2,Daniel Radcliffe,Harry Potter and the Deathly Hallows: Part 2
Emma Watson-Harry Potter and the Deathly Hallows: Part 2,Emma Watson,Harry Potter and the Deathly Hallows: Part 2
Rupert Grint-Harry Potter and the Deathly Hallows: Part 2,Rupert Grint,Harry Potter and the Deathly Hallows: Part 2
Michael Gambon-Harry Potter and the Deathly Hallows: Part 2,Michael Gambon,Harry Potter and the Deathly Hallows: Part 2
Masahiro Motoki-Okuribito,Masahiro Motoki,Okuribito
Ryôko Hirosue-Okuribito,Ryôko Hirosue,Okuribito
Tsutomu Yamazaki-Okuribito,Tsutomu Yamazaki,Okuribito
Kazuko Yoshiyuki-Okuribito,Kazuko Yoshiyuki,Okuribito
Richard Gere-Hachi: A Dog's Tale,Richard Gere,Hachi: A Dog's Tale
Joan Allen-Hachi: A Dog's Tale,Joan Allen,Hachi: A Dog's Tale
Cary-Hiroyuki Tagawa-Hachi: A Dog's Tale,Cary-Hiroyuki Tagawa,Hachi: A Dog's Tale
Sarah Roemer-Hachi: A Dog's Tale,Sarah Roemer,Hachi: A Dog's Tale
Toni Collette-Mary and Max,Toni Collette,Mary and Max
Philip Seymour Hoffman-Mary and Max,Philip Seymour Hoffman,Mary and Max
Eric Bana-Mary and Max,Eric Bana,Mary and Max
Barry Humphries-Mary and Max,Barry Humphries,Mary and Max
Chris Sanders-How to Train Your Dragon,Chris Sanders,How to Train Your Dragon
Jay Baruchel-How to Train Your Dragon,Jay Baruchel,How to Train Your Dragon
Gerard Butler-How to Train Your Dragon,Gerard Butler,How to Train Your Dragon
Christopher Mintz-Plasse-How to Train Your Dragon,Christopher Mintz-Plasse,How to Train Your Dragon
Emile Hirsch-Into the Wild,Emile Hirsch,Into the Wild
Vince Vaughn-Into the Wild,Vince Vaughn,Into the Wild
Catherine Keener-Into the Wild,Catherine Keener,Into the Wild
Marcia Gay Harden-Into the Wild,Marcia Gay Harden,Into the Wild
Joel Coen-No Country for Old Men,Joel Coen,No Country for Old Men
Tommy Lee Jones-No Country for Old Men,Tommy Lee Jones,No Country for Old Men
Javier Bardem-No Country for Old Men,Javier Bardem,No Country for Old Men
Josh Brolin-No Country for Old Men,Josh Brolin,No Country for Old Men
Sanjay Dutt-Lage Raho Munna Bhai,Sanjay Dutt,Lage Raho Munna Bhai
Arshad Warsi-Lage Raho Munna Bhai,Arshad Warsi,Lage Raho Munna Bhai
Vidya Balan-Lage Raho Munna Bhai,Vidya Balan,Lage Raho Munna Bhai
Boman Irani-Lage Raho Munna Bhai,Boman Irani,Lage Raho Munna Bhai
Hilary Swank-Million Dollar Baby,Hilary Swank,Million Dollar Baby
Clint Eastwood-Million Dollar Baby,Clint Eastwood,Million Dollar Baby
Morgan Freeman-Million Dollar Baby,Morgan Freeman,Million Dollar Baby
Jay Baruchel-Million Dollar Baby,Jay Baruchel,Million Dollar Baby
Don Cheadle-Hotel Rwanda,Don Cheadle,Hotel Rwanda
Sophie Okonedo-Hotel Rwanda,Sophie Okonedo,Hotel Rwanda
Joaquin Phoenix-Hotel Rwanda,Joaquin Phoenix,Hotel Rwanda
Xolani Mali-Hotel Rwanda,Xolani Mali,Hotel Rwanda
Jang Dong-Gun-Taegukgi hwinalrimyeo,Jang Dong-Gun,Taegukgi hwinalrimyeo
Won Bin-Taegukgi hwinalrimyeo,Won Bin,Taegukgi hwinalrimyeo
Eun-ju Lee-Taegukgi hwinalrimyeo,Eun-ju Lee,Taegukgi hwinalrimyeo
Hyeong-jin Kong-Taegukgi hwinalrimyeo,Hyeong-jin Kong,Taegukgi hwinalrimyeo
Ethan Hawke-Before Sunset,Ethan Hawke,Before Sunset
Julie Delpy-Before Sunset,Julie Delpy,Before Sunset
Vernon Dobtcheff-Before Sunset,Vernon Dobtcheff,Before Sunset
Louise Lemoine Torrès-Before Sunset,Louise Lemoine Torrès,Before Sunset
Sanjay Dutt-Munna Bhai M.B.B.S.,Sanjay Dutt,Munna Bhai M.B.B.S.
Arshad Warsi-Munna Bhai M.B.B.S.,Arshad Warsi,Munna Bhai M.B.B.S.
Gracy Singh-Munna Bhai M.B.B.S.,Gracy Singh,Munna Bhai M.B.B.S.
Sunil Dutt-Munna Bhai M.B.B.S.,Sunil Dutt,Munna Bhai M.B.B.S.
Kang-ho Song-Salinui chueok,Kang-ho Song,Salinui chueok
Kim Sang-kyung-Salinui chueok,Kim Sang-kyung,Salinui chueok
Roe-ha Kim-Salinui chueok,Roe-ha Kim,Salinui chueok
Jae-ho Song-Salinui chueok,Jae-ho Song,Salinui chueok
Aamir Khan-Dil Chahta Hai,Aamir Khan,Dil Chahta Hai
Saif Ali Khan-Dil Chahta Hai,Saif Ali Khan,Dil Chahta Hai
Akshaye Khanna-Dil Chahta Hai,Akshaye Khanna,Dil Chahta Hai
Preity Zinta-Dil Chahta Hai,Preity Zinta,Dil Chahta Hai
Uma Thurman-Kill Bill: Vol. 1,Uma Thurman,Kill Bill: Vol. 1
David Carradine-Kill Bill: Vol. 1,David Carradine,Kill Bill: Vol. 1
Daryl Hannah-Kill Bill: Vol. 1,Daryl Hannah,Kill Bill: Vol. 1
Michael Madsen-Kill Bill: Vol. 1,Michael Madsen,Kill Bill: Vol. 1
Lee Unkrich-Finding Nemo,Lee Unkrich,Finding Nemo
Albert Brooks-Finding Nemo,Albert Brooks,Finding Nemo
Ellen DeGeneres-Finding Nemo,Ellen DeGeneres,Finding Nemo
Alexander Gould-Finding Nemo,Alexander Gould,Finding Nemo
Leonardo DiCaprio-Catch Me If You Can,Leonardo DiCaprio,Catch Me If You Can
Tom Hanks-Catch Me If You Can,Tom Hanks,Catch Me If You Can
Christopher Walken-Catch Me If You Can,Christopher Walken,Catch Me If You Can
Martin Sheen-Catch Me If You Can,Martin Sheen,Catch Me If You Can
Emilio Echevarría-Amores perros,Emilio Echevarría,Amores perros
Gael García Bernal-Amores perros,Gael García Bernal,Amores perros
Goya Toledo-Amores perros,Goya Toledo,Amores perros
Álvaro Guerrero-Amores perros,Álvaro Guerrero,Amores perros
"David Silverman-Monsters, Inc.",David Silverman,"Monsters, Inc."
"Lee Unkrich-Monsters, Inc.",Lee Unkrich,"Monsters, Inc."
"Billy Crystal-Monsters, Inc.",Billy Crystal,"Monsters, Inc."
"John Goodman-Monsters, Inc.",John Goodman,"Monsters, Inc."
"Kazuya Tsurumaki-Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Kazuya Tsurumaki,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni"
"Megumi Ogata-Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Megumi Ogata,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni"
"Megumi Hayashibara-Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Megumi Hayashibara,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni"
"Yûko Miyamura-Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Yûko Miyamura,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni"
Aamir Khan-Lagaan: Once Upon a Time in India,Aamir Khan,Lagaan: Once Upon a Time in India
Raghuvir Yadav-Lagaan: Once Upon a Time in India,Raghuvir Yadav,Lagaan: Once Upon a Time in India
Gracy Singh-Lagaan: Once Upon a Time in India,Gracy Singh,Lagaan: Once Upon a Time in India
Rachel Shelley-Lagaan: Once Upon a Time in India,Rachel Shelley,Lagaan: Once Upon a Time in India
Bruce Willis-The Sixth Sense,Bruce Willis,The Sixth Sense
Haley Joel Osment-The Sixth Sense,Haley Joel Osment,The Sixth Sense
Toni Collette-The Sixth Sense,Toni Collette,The Sixth Sense
Olivia Williams-The Sixth Sense,Olivia Williams,The Sixth Sense
Tim Roth-La leggenda del pianista sull'oceano,Tim Roth,La leggenda del pianista sull'oceano
Pruitt Taylor Vince-La leggenda del pianista sull'oceano,Pruitt Taylor Vince,La leggenda del pianista sull'oceano
Mélanie Thierry-La leggenda del pianista sull'oceano,Mélanie Thierry,La leggenda del pianista sull'oceano
Bill Nunn-La leggenda del pianista sull'oceano,Bill Nunn,La leggenda del pianista sull'oceano
Jim Carrey-The Truman Show,Jim Carrey,The Truman Show
Ed Harris-The Truman Show,Ed Harris,The Truman Show
Laura Linney-The Truman Show,Laura Linney,The Truman Show
Noah Emmerich-The Truman Show,Noah Emmerich,The Truman Show
"Bajram Severdzan-Crna macka, beli macor",Bajram Severdzan,"Crna macka, beli macor"
"Srdjan 'Zika' Todorovic-Crna macka, beli macor",Srdjan 'Zika' Todorovic,"Crna macka, beli macor"
"Branka Katic-Crna macka, beli macor",Branka Katic,"Crna macka, beli macor"
"Florijan Ajdini-Crna macka, beli macor",Florijan Ajdini,"Crna macka, beli macor"
Ethan Coen-The Big Lebowski,Ethan Coen,The Big Lebowski
Jeff Bridges-The Big Lebowski,Jeff Bridges,The Big Lebowski
John Goodman-The Big Lebowski,John Goodman,The Big Lebowski
Julianne Moore-The Big Lebowski,Julianne Moore,The Big Lebowski
Tony Chiu-Wai Leung-Fa yeung nin wah,Tony Chiu-Wai Leung,Fa yeung nin wah
Maggie Cheung-Fa yeung nin wah,Maggie Cheung,Fa yeung nin wah
Ping Lam Siu-Fa yeung nin wah,Ping Lam Siu,Fa yeung nin wah
Tung Cho 'Joe' Cheung-Fa yeung nin wah,Tung Cho 'Joe' Cheung,Fa yeung nin wah
Ewan McGregor-Trainspotting,Ewan McGregor,Trainspotting
Ewen Bremner-Trainspotting,Ewen Bremner,Trainspotting
Jonny Lee Miller-Trainspotting,Jonny Lee Miller,Trainspotting
Kevin McKidd-Trainspotting,Kevin McKidd,Trainspotting
Ethan Coen-Fargo,Ethan Coen,Fargo
William H. Macy-Fargo,William H. Macy,Fargo
Frances McDormand-Fargo,Frances McDormand,Fargo
Steve Buscemi-Fargo,Steve Buscemi,Fargo
Predrag 'Miki' Manojlovic-Underground,Predrag 'Miki' Manojlovic,Underground
Lazar Ristovski-Underground,Lazar Ristovski,Underground
Mirjana Jokovic-Underground,Mirjana Jokovic,Underground
Slavko Stimac-Underground,Slavko Stimac,Underground
Vincent Cassel-La haine,Vincent Cassel,La haine
Hubert Koundé-La haine,Hubert Koundé,La haine
Saïd Taghmaoui-La haine,Saïd Taghmaoui,La haine
Abdel Ahmed Ghili-La haine,Abdel Ahmed Ghili,La haine
Shah Rukh Khan-Dilwale Dulhania Le Jayenge,Shah Rukh Khan,Dilwale Dulhania Le Jayenge
Kajol-Dilwale Dulhania Le Jayenge,Kajol,Dilwale Dulhania Le Jayenge
Amrish Puri-Dilwale Dulhania Le Jayenge,Amrish Puri,Dilwale Dulhania Le Jayenge
Farida Jalal-Dilwale Dulhania Le Jayenge,Farida Jalal,Dilwale Dulhania Le Jayenge
Ethan Hawke-Before Sunrise,Ethan Hawke,Before Sunrise
Julie Delpy-Before Sunrise,Julie Delpy,Before Sunrise
Andrea Eckert-Before Sunrise,Andrea Eckert,Before Sunrise
Hanno Pöschl-Before Sunrise,Hanno Pöschl,Before Sunrise
Irène Jacob-Trois couleurs: Rouge,Irène Jacob,Trois couleurs: Rouge
Jean-Louis Trintignant-Trois couleurs: Rouge,Jean-Louis Trintignant,Trois couleurs: Rouge
Frédérique Feder-Trois couleurs: Rouge,Frédérique Feder,Trois couleurs: Rouge
Jean-Pierre Lorit-Trois couleurs: Rouge,Jean-Pierre Lorit,Trois couleurs: Rouge
Brigitte Lin-Chung Hing sam lam,Brigitte Lin,Chung Hing sam lam
Takeshi Kaneshiro-Chung Hing sam lam,Takeshi Kaneshiro,Chung Hing sam lam
Tony Chiu-Wai Leung-Chung Hing sam lam,Tony Chiu-Wai Leung,Chung Hing sam lam
Faye Wong-Chung Hing sam lam,Faye Wong,Chung Hing sam lam
Sam Neill-Jurassic Park,Sam Neill,Jurassic Park
Laura Dern-Jurassic Park,Laura Dern,Jurassic Park
Jeff Goldblum-Jurassic Park,Jeff Goldblum,Jurassic Park
Richard Attenborough-Jurassic Park,Richard Attenborough,Jurassic Park
Daniel Day-Lewis-In the Name of the Father,Daniel Day-Lewis,In the Name of the Father
Pete Postlethwaite-In the Name of the Father,Pete Postlethwaite,In the Name of the Father
Alison Crosbie-In the Name of the Father,Alison Crosbie,In the Name of the Father
Philip King-In the Name of the Father,Philip King,In the Name of the Father
Leslie Cheung-Ba wang bie ji,Leslie Cheung,Ba wang bie ji
Fengyi Zhang-Ba wang bie ji,Fengyi Zhang,Ba wang bie ji
Gong Li-Ba wang bie ji,Gong Li,Ba wang bie ji
You Ge-Ba wang bie ji,You Ge,Ba wang bie ji
Gong Li-Dà hóng denglong gaogao guà,Gong Li,Dà hóng denglong gaogao guà
Jingwu Ma-Dà hóng denglong gaogao guà,Jingwu Ma,Dà hóng denglong gaogao guà
Saifei He-Dà hóng denglong gaogao guà,Saifei He,Dà hóng denglong gaogao guà
Cuifen Cao-Dà hóng denglong gaogao guà,Cuifen Cao,Dà hóng denglong gaogao guà
Robin Williams-Dead Poets Society,Robin Williams,Dead Poets Society
Robert Sean Leonard-Dead Poets Society,Robert Sean Leonard,Dead Poets Society
Ethan Hawke-Dead Poets Society,Ethan Hawke,Dead Poets Society
Josh Charles-Dead Poets Society,Josh Charles,Dead Poets Society
Wil Wheaton-Stand by Me,Wil Wheaton,Stand by Me
River Phoenix-Stand by Me,River Phoenix,Stand by Me
Corey Feldman-Stand by Me,Corey Feldman,Stand by Me
Jerry O'Connell-Stand by Me,Jerry O'Connell,Stand by Me
Charlie Sheen-Platoon,Charlie Sheen,Platoon
Tom Berenger-Platoon,Tom Berenger,Platoon
Willem Dafoe-Platoon,Willem Dafoe,Platoon
Keith David-Platoon,Keith David,Platoon
"Harry Dean Stanton-Paris, Texas",Harry Dean Stanton,"Paris, Texas"
"Nastassja Kinski-Paris, Texas",Nastassja Kinski,"Paris, Texas"
"Dean Stockwell-Paris, Texas",Dean Stockwell,"Paris, Texas"
"Aurore Clément-Paris, Texas",Aurore Clément,"Paris, Texas"
Sumi Shimamoto-Kaze no tani no Naushika,Sumi Shimamoto,Kaze no tani no Naushika
Mahito Tsujimura-Kaze no tani no Naushika,Mahito Tsujimura,Kaze no tani no Naushika
Hisako Kyôda-Kaze no tani no Naushika,Hisako Kyôda,Kaze no tani no Naushika
Gorô Naya-Kaze no tani no Naushika,Gorô Naya,Kaze no tani no Naushika
Kurt Russell-The Thing,Kurt Russell,The Thing
Wilford Brimley-The Thing,Wilford Brimley,The Thing
Keith David-The Thing,Keith David,The Thing
Richard Masur-The Thing,Richard Masur,The Thing
Bob Geldof-Pink Floyd: The Wall,Bob Geldof,Pink Floyd: The Wall
Christine Hargreaves-Pink Floyd: The Wall,Christine Hargreaves,Pink Floyd: The Wall
James Laurenson-Pink Floyd: The Wall,James Laurenson,Pink Floyd: The Wall
Eleanor David-Pink Floyd: The Wall,Eleanor David,Pink Floyd: The Wall
Klaus Kinski-Fitzcarraldo,Klaus Kinski,Fitzcarraldo
Claudia Cardinale-Fitzcarraldo,Claudia Cardinale,Fitzcarraldo
José Lewgoy-Fitzcarraldo,José Lewgoy,Fitzcarraldo
Miguel Ángel Fuentes-Fitzcarraldo,Miguel Ángel Fuentes,Fitzcarraldo
Bertil Guve-Fanny och Alexander,Bertil Guve,Fanny och Alexander
Pernilla Allwin-Fanny och Alexander,Pernilla Allwin,Fanny och Alexander
Kristina Adolphson-Fanny och Alexander,Kristina Adolphson,Fanny och Alexander
Börje Ahlstedt-Fanny och Alexander,Börje Ahlstedt,Fanny och Alexander
Harrison Ford-Blade Runner,Harrison Ford,Blade Runner
Rutger Hauer-Blade Runner,Rutger Hauer,Blade Runner
Sean Young-Blade Runner,Sean Young,Blade Runner
Edward James Olmos-Blade Runner,Edward James Olmos,Blade Runner
Anthony Hopkins-The Elephant Man,Anthony Hopkins,The Elephant Man
John Hurt-The Elephant Man,John Hurt,The Elephant Man
Anne Bancroft-The Elephant Man,Anne Bancroft,The Elephant Man
John Gielgud-The Elephant Man,John Gielgud,The Elephant Man
Graham Chapman-Life of Brian,Graham Chapman,Life of Brian
John Cleese-Life of Brian,John Cleese,Life of Brian
Michael Palin-Life of Brian,Michael Palin,Life of Brian
Terry Gilliam-Life of Brian,Terry Gilliam,Life of Brian
Robert De Niro-The Deer Hunter,Robert De Niro,The Deer Hunter
Christopher Walken-The Deer Hunter,Christopher Walken,The Deer Hunter
John Cazale-The Deer Hunter,John Cazale,The Deer Hunter
John Savage-The Deer Hunter,John Savage,The Deer Hunter
Sylvester Stallone-Rocky,Sylvester Stallone,Rocky
Talia Shire-Rocky,Talia Shire,Rocky
Burt Young-Rocky,Burt Young,Rocky
Carl Weathers-Rocky,Carl Weathers,Rocky
Faye Dunaway-Network,Faye Dunaway,Network
William Holden-Network,William Holden,Network
Peter Finch-Network,Peter Finch,Network
Robert Duvall-Network,Robert Duvall,Network
Ryan O'Neal-Barry Lyndon,Ryan O'Neal,Barry Lyndon
