id,Movie_Name,Released_Year,Run_time,IMDB_Rating,Description,Gross_USD,Director
Gran Torino,Gran Torino,2008,116,8.1,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",148095302,Clint Eastwood
Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",381011219,David Yates
Okuribito,Okuribito,2008,130,8.1,A newly unemployed cellist takes a job preparing the dead for funerals.,1498210,Yôjirô Takita
Hachi: A Dog's Tale,Hachi: A Dog's Tale,2009,93,8.1,A college professor bonds with an abandoned dog he takes into his home.,,Lasse Hallström
Mary and Max,Mary and Max,2009,92,8.1,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",,Adam Elliot
How to Train Your Dragon,How to Train Your Dragon,2010,98,8.1,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",217581231,Dean DeBlois
Into the Wild,Into the Wild,2007,148,8.1,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",18354356,Sean Penn
No Country for Old Men,No Country for Old Men,2007,122,8.1,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,74283625,Ethan Coen
Lage Raho Munna Bhai,Lage Raho Munna Bhai,2006,144,8.1,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,2217561,Rajkumar Hirani
Million Dollar Baby,Million Dollar Baby,2004,132,8.1,A determined woman works with a hardened boxing trainer to become a professional.,100492203,Clint Eastwood
Hotel Rwanda,Hotel Rwanda,2004,121,8.1,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",23530892,Terry George
Taegukgi hwinalrimyeo,Taegukgi hwinalrimyeo,2004,140,8.1,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",1111061,Je-kyu Kang
Before Sunset,Before Sunset,2004,80,8.1,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",5820649,Richard Linklater
Munna Bhai M.B.B.S.,Munna Bhai M.B.B.S.,2003,156,8.1,A gangster sets out to fulfill his father's dream of becoming a doctor.,,Rajkumar Hirani
Salinui chueok,Salinui chueok,2003,131,8.1,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",14131,Bong Joon Ho
Dil Chahta Hai,Dil Chahta Hai,2001,183,8.1,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",300000,Farhan Akhtar
Kill Bill: Vol. 1,Kill Bill: Vol. 1,2003,111,8.1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",70099045,Quentin Tarantino
Finding Nemo,Finding Nemo,2003,100,8.1,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",380843261,Andrew Stanton
Catch Me If You Can,Catch Me If You Can,2002,141,8.1,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",164615351,Steven Spielberg
Amores perros,Amores perros,2000,154,8.1,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",5383834,Alejandro G. Iñárritu
"Monsters, Inc.","Monsters, Inc.",2001,92,8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",289916256,Pete Docter
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87,8.1,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,,Hideaki Anno
Lagaan: Once Upon a Time in India,Lagaan: Once Upon a Time in India,2001,224,8.1,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,70147,Ashutosh Gowariker
The Sixth Sense,The Sixth Sense,1999,107,8.1,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,293506292,M. Night Shyamalan
La leggenda del pianista sull'oceano,La leggenda del pianista sull'oceano,1998,169,8.1,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",259127,Giuseppe Tornatore
The Truman Show,The Truman Show,1998,103,8.1,An insurance salesman discovers his whole life is actually a reality TV show.,125618201,Peter Weir
"Crna macka, beli macor","Crna macka, beli macor",1998,127,8.1,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,348660,Emir Kusturica
The Big Lebowski,The Big Lebowski,1998,117,8.1,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",17498804,Joel Coen
Fa yeung nin wah,Fa yeung nin wah,2000,98,8.1,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",2734044,Kar-Wai Wong
Trainspotting,Trainspotting,1996,93,8.1,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",16501785,Danny Boyle
Fargo,Fargo,1996,98,8.1,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,24611975,Joel Coen
Underground,Underground,1995,170,8.1,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.",171082,Emir Kusturica
La haine,La haine,1995,98,8.1,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,309811,Mathieu Kassovitz
Dilwale Dulhania Le Jayenge,Dilwale Dulhania Le Jayenge,1995,189,8.1,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",,Aditya Chopra
Before Sunrise,Before Sunrise,1995,101,8.1,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",5535405,Richard Linklater
Trois couleurs: Rouge,Trois couleurs: Rouge,1994,99,8.1,A model discovers a retired judge is keen on invading people's privacy.,4043686,Krzysztof Kieslowski
Chung Hing sam lam,Chung Hing sam lam,1994,102,8.1,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",600200,Kar-Wai Wong
Jurassic Park,Jurassic Park,1993,127,8.1,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,402453882,Steven Spielberg
In the Name of the Father,In the Name of the Father,1993,133,8.1,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,25010410,Jim Sheridan
Ba wang bie ji,Ba wang bie ji,1993,171,8.1,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,5216888,Kaige Chen
Dà hóng denglong gaogao guà,Dà hóng denglong gaogao guà,1991,125,8.1,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",2603061,Yimou Zhang
Dead Poets Society,Dead Poets Society,1989,128,8.1,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,95860116,Peter Weir
Stand by Me,Stand by Me,1986,89,8.1,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",52287414,Rob Reiner
Platoon,Platoon,1986,120,8.1,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",138530565,Oliver Stone
"Paris, Texas","Paris, Texas",1984,145,8.1,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",2181987,Wim Wenders
Kaze no tani no Naushika,Kaze no tani no Naushika,1984,117,8.1,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,495770,Hayao Miyazaki
The Thing,The Thing,1982,109,8.1,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,13782838,John Carpenter
Pink Floyd: The Wall,Pink Floyd: The Wall,1982,95,8.1,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,22244207,Alan Parker
Fitzcarraldo,Fitzcarraldo,1982,158,8.1,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",,Werner Herzog
Fanny och Alexander,Fanny och Alexander,1982,188,8.1,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",4971340,Ingmar Bergman
Blade Runner,Blade Runner,1982,117,8.1,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",32868943,Ridley Scott
The Elephant Man,The Elephant Man,1980,124,8.1,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",,David Lynch
Life of Brian,Life of Brian,1979,94,8.1,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",20045115,Terry Jones
The Deer Hunter,The Deer Hunter,1978,183,8.1,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,48979328,Michael Cimino
Rocky,Rocky,1976,120,8.1,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,117235247,John G. Avildsen
Network,Network,1976,121,8.1,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,,Sidney Lumet
Barry Lyndon,Barry Lyndon,1975,185,8.1,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,,Stanley Kubrick
Zerkalo,Zerkalo,1975,107,8.1,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",177345,Andrei Tarkovsky
Chinatown,Chinatown,1974,130,8.1,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",29000000,Roman Polanski
Paper Moon,Paper Moon,1973,102,8.1,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",30933743,Peter Bogdanovich
Viskningar och rop,Viskningar och rop,1972,91,8.1,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",1742348,Ingmar Bergman
Solaris,Solaris,1972,167,8.1,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,,Andrei Tarkovsky
Le samouraï,Le samouraï,1967,105,8.1,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,39481,Jean-Pierre Melville
Cool Hand Luke,Cool Hand Luke,1967,127,8.1,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",16217773,Stuart Rosenberg
Persona,Persona,1966,85,8.1,A nurse is put in charge of a mute actress and finds that their personae are melding together.,,Ingmar Bergman
Andrei Rublev,Andrei Rublev,1966,205,8.1,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",102021,Andrei Tarkovsky
La battaglia di Algeri,La battaglia di Algeri,1966,121,8.1,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",55908,Gillo Pontecorvo
El ángel exterminador,El ángel exterminador,1962,95,8.1,The guests at an upper-class dinner party find themselves unable to leave.,,Luis Buñuel
What Ever Happened to Baby Jane?,What Ever Happened to Baby Jane?,1962,134,8.1,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,4050000,Robert Aldrich
Sanjuro,Sanjuro,1962,96,8.1,"A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.",,Akira Kurosawa
The Man Who Shot Liberty Valance,The Man Who Shot Liberty Valance,1962,123,8.1,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,,John Ford
Ivanovo detstvo,Ivanovo detstvo,1962,95,8.1,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.",,Andrei Tarkovsky
Jungfrukällan,Jungfrukällan,1960,89,8.1,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",1526000,Ingmar Bergman
Inherit the Wind,Inherit the Wind,1960,128,8.1,"Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.",,Stanley Kramer
Les quatre cents coups,Les quatre cents coups,1959,99,8.1,"A young boy, left without attention, delves into a life of petty crime.",,François Truffaut
Ben-Hur,Ben-Hur,1959,212,8.1,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",74700000,William Wyler
Kakushi-toride no san-akunin,Kakushi-toride no san-akunin,1958,139,8.1,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",,Akira Kurosawa
Le notti di Cabiria,Le notti di Cabiria,1957,110,8.1,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,752045,Federico Fellini
Kumonosu-jô,Kumonosu-jô,1957,110,8.1,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",,Akira Kurosawa
The Bridge on the River Kwai,The Bridge on the River Kwai,1957,161,8.1,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",44908000,David Lean
On the Waterfront,On the Waterfront,1954,108,8.1,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,9600000,Elia Kazan
Le salaire de la peur,Le salaire de la peur,1953,131,8.1,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",,Henri-Georges Clouzot
Ace in the Hole,Ace in the Hole,1951,111,8.1,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",3969893,Billy Wilder
White Heat,White Heat,1949,114,8.1,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,,Raoul Walsh
The Third Man,The Third Man,1949,104,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",449191,Carol Reed
The Red Shoes,The Red Shoes,1948,135,8.1,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,10900000,Michael Powell
The Shop Around the Corner,The Shop Around the Corner,1940,99,8.1,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",203300,Ernst Lubitsch
Rebecca,Rebecca,1940,130,8.1,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,4360000,Alfred Hitchcock
Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,1939,129,8.1,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",9600000,Frank Capra
Gone with the Wind,Gone with the Wind,1939,238,8.1,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,198676459,Victor Fleming
La Grande Illusion,La Grande Illusion,1937,113,8.1,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",172885,Jean Renoir
It Happened One Night,It Happened One Night,1934,105,8.1,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",4360000,Frank Capra
La passion de Jeanne d'Arc,La passion de Jeanne d'Arc,1928,110,8.1,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",21877,Carl Theodor Dreyer
The Circus,The Circus,1928,72,8.1,The Tramp finds work and the girl of his dreams at a circus.,,Charles Chaplin
Sunrise: A Song of Two Humans,Sunrise: A Song of Two Humans,1927,94,8.1,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,539540,F.W. Murnau
The General,The General,1926,67,8.1,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",1033895,Clyde Bruckman
Das Cabinet des Dr. Caligari,Das Cabinet des Dr. Caligari,1920,76,8.1,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",,Robert Wiene
Badhaai ho,Badhaai ho,2018,124,8.0,A man is embarrassed when he finds out his mother is pregnant.,,Amit Ravindernath Sharma
Togo,Togo,2019,113,8.0,"The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.",,Ericson Core
Airlift,Airlift,2016,130,8.0,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",,Raja Menon
Bajrangi Bhaijaan,Bajrangi Bhaijaan,2015,163,8.0,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,8178001,Kabir Khan
Baby,Baby,2015,159,8.0,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",,Neeraj Pandey
La La Land,La La Land,2016,128,8.0,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",151101803,Damien Chazelle
Lion,Lion,2016,118,8.0,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",51739495,Garth Davis
The Martian,The Martian,2015,144,8.0,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",228433663,Ridley Scott
Zootopia,Zootopia,2016,108,8.0,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",341268248,Byron Howard
Bãhubali: The Beginning,Bãhubali: The Beginning,2015,159,8.0,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",6738000,S.S. Rajamouli
Kaguyahime no monogatari,Kaguyahime no monogatari,2013,137,8.0,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",1506975,Isao Takahata
Wonder,Wonder,2017,113,8.0,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",132422809,Stephen Chbosky
Gully Boy,Gully Boy,2019,154,8.0,A coming-of-age story based on the lives of street rappers in Mumbai.,5566534,Zoya Akhtar
Special Chabbis,Special Chabbis,2013,144,8.0,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,1079369,Neeraj Pandey
Short Term 12,Short Term 12,2013,96,8.0,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,1010414,Destin Daniel Cretton
Serbuan maut 2: Berandal,Serbuan maut 2: Berandal,2014,150,8.0,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",2625803,Gareth Evans
The Imitation Game,The Imitation Game,2014,114,8.0,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",91125683,Morten Tyldum
Guardians of the Galaxy,Guardians of the Galaxy,2014,121,8.0,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,333176600,James Gunn
Blade Runner 2049,Blade Runner 2049,2017,164,8.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",92054159,Denis Villeneuve
Her,Her,2013,126,8.0,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",25568251,Spike Jonze
Bohemian Rhapsody,Bohemian Rhapsody,2018,134,8.0,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",216428042,Bryan Singer
The Revenant,The Revenant,2015,156,8.0,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,183637894,Alejandro G. Iñárritu
The Perks of Being a Wallflower,The Perks of Being a Wallflower,2012,103,8.0,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,17738570,Stephen Chbosky
Tropa de Elite 2: O Inimigo Agora é Outro,Tropa de Elite 2: O Inimigo Agora é Outro,2010,115,8.0,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",100119,José Padilha
The King's Speech,The King's Speech,2010,118,8.0,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",138797449,Tom Hooper
The Help,The Help,2011,146,8.0,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",169708112,Tate Taylor
Deadpool,Deadpool,2016,108,8.0,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",363070709,Tim Miller
Darbareye Elly,Darbareye Elly,2009,119,8.0,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,106662,Asghar Farhadi
Dev.D,Dev.D,2009,144,8.0,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",10950,Anurag Kashyap
Yip Man,Yip Man,2008,106,8.0,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",,Wilson Yip
My Name Is Khan,My Name Is Khan,2010,165,8.0,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,4018695,Karan Johar
Nefes: Vatan Sagolsun,Nefes: Vatan Sagolsun,2009,128,8.0,Story of 40-man Turkish task force who must defend a relay station.,,Levent Semerci
Slumdog Millionaire,Slumdog Millionaire,2008,120,8.0,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",141319928,Danny Boyle
Black Swan,Black Swan,2010,108,8.0,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",106954678,Darren Aronofsky
Tropa de Elite,Tropa de Elite,2007,115,8.0,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",8060,José Padilha
The Avengers,The Avengers,2012,143,8.0,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,623279547,Joss Whedon
Persepolis,Persepolis,2007,96,8.0,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,4445756,Vincent Paronnaud
Dallas Buyers Club,Dallas Buyers Club,2013,117,8.0,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",27298285,Jean-Marc Vallée
The Pursuit of Happyness,The Pursuit of Happyness,2006,117,8.0,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,163566459,Gabriele Muccino
Blood Diamond,Blood Diamond,2006,143,8.0,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",57366262,Edward Zwick
The Bourne Ultimatum,The Bourne Ultimatum,2007,115,8.0,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,227471070,Paul Greengrass
Bin-jip,Bin-jip,2004,88,8.0,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,238507,Ki-duk Kim
Sin City,Sin City,2005,124,8.0,"A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption.",74103820,Frank Miller
Le scaphandre et le papillon,Le scaphandre et le papillon,2007,112,8.0,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,5990075,Julian Schnabel
G.O.R.A.,G.O.R.A.,2004,127,8.0,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,,Ömer Faruk Sorak
Ratatouille,Ratatouille,2007,111,8.0,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,206445654,Brad Bird
Casino Royale,Casino Royale,2006,144,8.0,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",167445960,Martin Campbell
Kill Bill: Vol. 2,Kill Bill: Vol. 2,2004,137,8.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",66208183,Quentin Tarantino
Vozvrashchenie,Vozvrashchenie,2003,110,8.0,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",502028,Andrey Zvyagintsev
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,103,8.0,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,2380788,Ki-duk Kim
Mar adentro,Mar adentro,2014,126,8.0,"The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die.",2086345,Alejandro Amenábar
Cinderella Man,Cinderella Man,2005,144,8.0,"The story of James J. Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",61649911,Ron Howard
Kal Ho Naa Ho,Kal Ho Naa Ho,2003,186,8.0,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",1787378,Nikkhil Advani
Mou gaan dou,Mou gaan dou,2002,101,8.0,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",169659,Andrew Lau
Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.0,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",305413918,Gore Verbinski
Big Fish,Big Fish,2003,125,8.0,A frustrated son tries to determine the fact from fiction in his dying father's life.,66257002,Tim Burton
The Incredibles,The Incredibles,2004,115,8.0,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",261441092,Brad Bird
Yeopgijeogin geunyeo,Yeopgijeogin geunyeo,2001,137,8.0,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",,Jae-young Kwak
Dogville,Dogville,2003,178,8.0,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",1530386,Lars von Trier
